tau_tot,omega,g,escape_fraction_top,escape_fraction_bottom,absorbed_fraction
10.0,0.11,0.0,0.0,0.0274,0.9726
10.0,0.22,0.0,0.0,0.0644,0.9356
10.0,0.33,0.0,0.0,0.0896,0.9104
10.0,0.44,0.0,0.0,0.1542,0.8458
10.0,0.55,0.0,0.0,0.2024,0.7976
10.0,0.66,0.0,0.0,0.2548,0.7452
10.0,0.77,0.0,0.0004,0.3466,0.653
10.0,0.88,0.0,0.0028,0.4932,0.504
10.0,0.99,0.0,0.062,0.8048,0.1332
0.1,0.0,0.5,0.7246,0.0,0.2754
0.1,0.11,0.5,0.7342,0.0092,0.2566
0.1,0.22,0.5,0.7608,0.0186,0.2206
0.1,0.33,0.5,0.7562,0.0362,0.2076
0.1,0.44,0.5,0.7824,0.043,0.1746
0.1,0.55,0.5,0.8094,0.05,0.1406
0.1,0.66,0.5,0.8252,0.0642,0.1106
0.1,0.77,0.5,0.843,0.0812,0.0758
0.1,0.88,0.5,0.8628,0.0974,0.0398
0.1,0.99,0.5,0.891,0.105,0.004
0.16681005372000587,0.0,0.5,0.6204,0.0,0.3796
0.16681005372000587,0.11,0.5,0.6342,0.0144,0.3514
0.16681005372000587,0.22,0.5,0.6666,0.0252,0.3082
0.16681005372000587,0.33,0.5,0.693,0.0392,0.2678
0.16681005372000587,0.44,0.5,0.6964,0.0564,0.2472
0.16681005372000587,0.55,0.5,0.7392,0.0656,0.1952
0.16681005372000587,0.66,0.5,0.757,0.084,0.159
0.16681005372000587,0.77,0.5,0.7878,0.0994,0.1128
0.16681005372000587,0.88,0.5,0.8144,0.1256,0.06
0.16681005372000587,0.99,0.5,0.8466,0.1488,0.0046
0.2782559402207124,0.0,0.5,0.4736,0.0,0.5264
0.2782559402207124,0.11,0.5,0.5164,0.0138,0.4698
0.2782559402207124,0.22,0.5,0.5406,0.0292,0.4302
0.2782559402207124,0.33,0.5,0.5562,0.046,0.3978
0.2782559402207124,0.44,0.5,0.5934,0.0672,0.3394
0.2782559402207124,0.55,0.5,0.6282,0.0824,0.2894
0.2782559402207124,0.66,0.5,0.6578,0.1178,0.2244
0.2782559402207124,0.77,0.5,0.7014,0.138,0.1606
0.2782559402207124,0.88,0.5,0.7476,0.1684,0.084
0.2782559402207124,0.99,0.5,0.7958,0.1972,0.007
0.46415888336127786,0.0,0.5,0.3454,0.0,0.6546
0.46415888336127786,0.11,0.5,0.36,0.015,0.625
0.46415888336127786,0.22,0.5,0.4012,0.032,0.5668
0.46415888336127786,0.33,0.5,0.4278,0.0552,0.517
